SystemCodeNumber,Timestamp,Occupancy,Capacity,BaselinePrice,Model2Price,Model3Price,Model3Revenue,NearbyAvgPrice,NearbyAvgOccupancyRatio
BHMBCCMKT01,2016-10-04 07:59:00,61,577,10.031715771230502,10.721141386974216,11.510806819577136,702.1592159942053,11.336596075078225,0.2717417786806583
BHMBCCMKT01,2016-10-04 08:25:00,64,577,10.064991334488735,10.726601821504563,11.674723034429752,747.1822742035041,11.446810487216517,0.3300188733202039
BHMBCCMKT01,2016-10-04 08:59:00,80,577,10.106585788561524,11.28083592633457,12.271875032197244,981.7500025757795,11.670131641817974,0.41766040983465613
BHMBCCMKT01,2016-10-04 09:32:00,107,577,10.162218370883881,11.960113981909474,13.237437136128463,1416.4057735657454,12.610956272032722,0.5084931190848446
BHMBCCMKT01,2016-10-04 09:59:00,150,577,10.240207972270364,11.933357852710785,13.387082992077104,2008.0624488115657,12.70311484563406,0.5729111710985045
BHMBCCMKT01,2016-10-04 10:26:00,177,577,10.332235701906413,12.61263590828569,14.114739326666617,2498.3088608199914,13.268749062180847,0.6198290784114325
BHMBCCMKT01,2016-10-04 10:59:00,219,577,10.446100519930676,13.739305566380189,15.025122234187728,3290.5017692871124,13.623604952188876,0.666048456742032
BHMBCCMKT01,2016-10-04 11:25:00,247,577,10.574523396880416,13.475202549595839,15.145235647602835,3740.8732049579003,14.24065730941413,0.6819255970398393
BHMBCCMKT01,2016-10-04 11:59:00,259,577,10.709185441941074,13.43403087323704,15.144958038188351,3922.544131890783,14.251256970238304,0.6920183630754028
BHMBCCMKT01,2016-10-04 12:29:00,266,577,10.847487001733102,14.665031233757993,16.434419140825877,4371.555491459683,15.609927385987843,0.6957147230879722
BHMBCCMKT01,2016-10-04 13:02:00,269,577,10.987348353552859,14.25040223842047,15.954455822718385,4291.748616311245,15.121798779681088,0.6777474838968344
BHMBCCMKT01,2016-10-04 13:29:00,263,577,11.124090121317156,14.239481369359781,15.883442312229839,4177.3453281164475,14.956535878860015,0.6785695695349824
BHMBCCMKT01,2016-10-04 14:02:00,238,577,11.247833622183707,13.143754173603902,14.677239279719341,3493.1829485732032,13.595881180049075,0.6763171517686851
BHMBCCMKT01,2016-10-04 14:29:00,215,577,11.35961871750433,12.471756697402792,14.150767294993743,3042.414968423655,13.354335718989077,0.662989494478219
BHMBCCMKT01,2016-10-04 14:57:00,192,577,11.459445407279027,12.219848651069547,13.99429623878012,2686.9048778457827,13.470640255628021,0.6370654729435913
BHMBCCMKT01,2016-10-04 15:30:00,165,577,11.545233968804157,12.065682382829475,13.576295299825015,2240.0887244711275,12.805739706511032,0.6072949937614583
BHMBCCMKT01,2016-10-04 16:04:00,162,577,11.629462738301557,11.43008780349733,12.995954803225262,2105.3446781224925,12.534232047361689,0.5621046510910946
BHMBCCMKT01,2016-10-04 16:31:00,143,577,11.70381282495667,11.710572123872712,12.95526136578884,1852.602375307804,12.294548047192984,0.5055494362940088
BHMBCCMKT01,2016-10-05 07:57:00,54,577,11.731889081455803,10.708400373070077,11.555436579900588,623.9935753146318,11.385318732740737,0.2881344314811229
BHMBCCMKT01,2016-10-05 08:30:00,59,577,11.762564991334486,10.40243402488642,11.553749426624385,681.6712161708388,11.474378735684576,0.36126875870935177
BHMBCCMKT01,2016-10-05 09:04:00,71,577,11.799480069324087,11.894588767545336,13.01600085890005,924.1360609819035,12.421986163330024,0.45522656652041976
BHMBCCMKT01,2016-10-05 09:30:00,83,577,11.842634315424608,11.601363433265814,13.105565560537439,1087.7619415246074,12.691981970070168,0.5339773562749417
BHMBCCMKT01,2016-10-05 10:04:00,114,577,11.901906412478334,12.497966783148446,14.01563385156011,1597.7822590778526,13.25270524774541,0.6078858412864389
BHMBCCMKT01,2016-10-05 10:30:00,128,577,11.9684575389948,12.523448810956722,14.189540076001046,1816.261129728134,13.466192336033293,0.6444969275068475
BHMBCCMKT01,2016-10-05 11:04:00,148,577,12.045407279029462,12.664874065292654,14.696356464296763,2175.060756715921,14.415970716481267,0.6655218692643313
BHMBCCMKT01,2016-10-05 11:30:00,162,577,12.129636048526862,12.795378450567899,14.69444120166419,2380.499474669599,14.1815374097932,0.6722995837030861
BHMBCCMKT01,2016-10-05 12:04:00,178,577,12.22218370883882,13.55965727033184,15.598197782831189,2776.4792053439514,15.249886013153434,0.6812245076853558
BHMBCCMKT01,2016-10-05 12:30:00,183,577,12.317331022530327,14.093869781883917,15.98449619239291,2925.1628032079025,15.443859055357189,0.6753153505598418
BHMBCCMKT01,2016-10-05 12:57:00,175,577,12.408318890814556,14.079308623136328,15.91689505482047,2785.4566345935823,15.249990074156552,0.6846569256380262
BHMBCCMKT01,2016-10-05 13:30:00,179,577,12.501386481802424,13.666499772642256,15.498838194949215,2774.2920368959094,14.824547402248713,0.6845596852321889
BHMBCCMKT01,2016-10-05 13:57:00,174,577,12.591854419410742,12.81722018868928,14.725126103261342,2562.1719419674737,14.179040628229648,0.6815888693779573
BHMBCCMKT01,2016-10-05 14:30:00,158,577,12.674003466204503,12.99814258612804,14.486035221801858,2288.7935650446934,13.37723570381687,0.6681276942991424
BHMBCCMKT01,2016-10-05 14:57:00,145,577,12.749393414211436,12.239324200894444,14.139942979506358,2050.291732028422,13.750094166085164,0.6481553962678134
BHMBCCMKT01,2016-10-05 15:30:00,129,577,12.81646447140381,12.000157168465337,13.497075033809978,1741.1226793614871,12.723328350226717,0.6038246963200441
BHMBCCMKT01,2016-10-05 16:04:00,121,577,12.879376083188905,11.98559600971775,13.273917685037343,1606.1440398895186,12.417900514149023,0.5576999367735418
BHMBCCMKT01,2016-10-05 16:30:00,114,577,12.938648180242632,11.342720851011812,12.757038657001836,1454.3024068982093,12.330344616876104,0.5096341498221529
BHMBCCMKT01,2016-10-06 07:57:00,58,577,12.968804159445405,10.715680952443872,11.446810727946795,663.9150222209141,11.175718257417275,0.27355742675678113
BHMBCCMKT01,2016-10-06 08:30:00,63,577,13.001559792027727,10.724781676661113,11.732297729375604,739.134756950663,11.504093342600186,0.34789569316943153
BHMBCCMKT01,2016-10-06 08:57:00,70,577,13.037954939341418,10.737522690565251,11.909447254310773,833.6613078017541,11.555953773518818,0.4222760652820476
BHMBCCMKT01,2016-10-06 09:30:00,95,577,13.087348353552857,11.938272243788095,13.115106725047712,1245.9351388795326,12.41022399865812,0.49402688965580305
BHMBCCMKT01,2016-10-06 10:03:00,135,577,13.15753899480069,12.536189824860863,13.846333682240035,1869.2550471024047,13.020290103738114,0.5582518729141357
BHMBCCMKT01,2016-10-06 10:30:00,160,577,13.24072790294627,12.266626373546167,13.931803401956337,2229.0885443130137,13.412536047936712,0.603406579326976
BHMBCCMKT01,2016-10-06 10:57:00,177,577,13.33275563258232,12.297568835884789,14.04189039753724,2485.4146003640917,13.51445381123851,0.6287837857554819
BHMBCCMKT01,2016-10-06 11:30:00,191,577,13.432062391681105,12.785149236547719,14.689499981103085,2805.694496390689,14.31224475440809,0.6467562687056087
BHMBCCMKT01,2016-10-06 12:04:00,199,577,13.535528596187172,14.122992099379088,15.895699568607252,3163.244214152843,15.246776347358216,0.6615968850182563
BHMBCCMKT01,2016-10-06 12:30:00,206,577,13.642634315424607,14.135733113283226,15.909251702290797,3277.3058506719044,15.234611619525985,0.6669835932552336
BHMBCCMKT01,2016-10-06 12:57:00,198,577,13.745580589254763,13.386015452266873,15.468324773664227,3062.728305185517,15.250310751415691,0.6682956008689137
BHMBCCMKT01,2016-10-06 13:30:00,208,577,13.853726169844018,14.034351045503158,15.698669768469134,3265.32331184158,14.873348074956867,0.6643599555922459
BHMBCCMKT01,2016-10-06 13:57:00,200,577,13.957712305025993,13.38965574195377,14.987376176695175,2997.475235339035,14.071471363448154,0.6624970930718246
BHMBCCMKT01,2016-10-06 14:30:00,175,577,14.048700173310221,12.230915131717712,14.02621645392601,2454.5878794370515,13.549598090605313,0.633914069326628
BHMBCCMKT01,2016-10-06 15:04:00,158,577,14.130849220103983,12.052941368925335,13.579592899625448,2145.575678140821,12.784450555418644,0.6170239280513943
BHMBCCMKT01,2016-10-06 15:31:00,153,577,14.210398613518194,11.938818287241128,13.429940342613342,2054.780872419841,12.730417229407502,0.587241239252832
BHMBCCMKT01,2016-10-06 16:04:00,135,577,14.280589254766028,11.380943892724225,12.878670012942447,1738.6204517472304,12.365942783794631,0.5518632818950288
BHMBCCMKT01,2016-10-06 16:30:00,129,577,14.347660311958402,12.000157168465337,13.104338037750512,1690.459606869816,12.250570031957075,0.5020078619442392
BHMBCCMKT01,2016-10-07 08:03:00,58,577,14.377816291161174,11.240792739778707,11.799625059191257,684.3782534330929,11.290463495595086,0.26948200854299925
BHMBCCMKT01,2016-10-07 08:30:00,61,577,14.409532062391676,10.93118610190815,11.819760111050892,721.0053667741043,11.485412664607855,0.3334416920314303
BHMBCCMKT01,2016-10-07 09:04:00,75,577,14.448526863084917,11.376757559584295,12.624176656242536,946.8132492181902,12.42005121473086,0.4150508172998071
